name,municipality,province,region,code
"Andres Bonifacio","Gloria","Oriental Mindoro","MIMAROPA","1705206003"
"Balete","Gloria","Oriental Mindoro","MIMAROPA","1705206004"
"Banus","Gloria","Oriental Mindoro","MIMAROPA","1705206005"
"Banutan","Gloria","Oriental Mindoro","MIMAROPA","1705206006"
"Bulaklakan","Gloria","Oriental Mindoro","MIMAROPA","1705206008"
"Buong Lupa","Gloria","Oriental Mindoro","MIMAROPA","1705206007"
"Gaudencio Antonino","Gloria","Oriental Mindoro","MIMAROPA","1705206009"
"Guimbonan","Gloria","Oriental Mindoro","MIMAROPA","1705206010"
"Kawit","Gloria","Oriental Mindoro","MIMAROPA","1705206012"
"Lucio Laurel","Gloria","Oriental Mindoro","MIMAROPA","1705206013"
"Macario Adriatico","Gloria","Oriental Mindoro","MIMAROPA","1705206014"
"Malamig","Gloria","Oriental Mindoro","MIMAROPA","1705206015"
"Malayong","Gloria","Oriental Mindoro","MIMAROPA","1705206016"
"Maligaya (Pob.)","Gloria","Oriental Mindoro","MIMAROPA","1705206017"
"Malubay","Gloria","Oriental Mindoro","MIMAROPA","1705206018"
"Manguyang","Gloria","Oriental Mindoro","MIMAROPA","1705206020"
"Maragooc","Gloria","Oriental Mindoro","MIMAROPA","1705206021"
"Mirayan","Gloria","Oriental Mindoro","MIMAROPA","1705206022"
"Narra","Gloria","Oriental Mindoro","MIMAROPA","1705206023"
"Papandungin","Gloria","Oriental Mindoro","MIMAROPA","1705206024"
"San Antonio","Gloria","Oriental Mindoro","MIMAROPA","1705206025"
"Santa Maria","Gloria","Oriental Mindoro","MIMAROPA","1705206026"
"Santa Theresa","Gloria","Oriental Mindoro","MIMAROPA","1705206027"
"Tambong","Gloria","Oriental Mindoro","MIMAROPA","1705206028"
"B. Del Mundo","Mansalay","Oriental Mindoro","MIMAROPA","1705207001"
"Balugo","Mansalay","Oriental Mindoro","MIMAROPA","1705207002"
"Bonbon","Mansalay","Oriental Mindoro","MIMAROPA","1705207003"
"Budburan","Mansalay","Oriental Mindoro","MIMAROPA","1705207004"
"Cabalwa","Mansalay","Oriental Mindoro","MIMAROPA","1705207005"
"Don Pedro","Mansalay","Oriental Mindoro","MIMAROPA","1705207007"
"Maliwanag","Mansalay","Oriental Mindoro","MIMAROPA","1705207010"
"Manaul","Mansalay","Oriental Mindoro","MIMAROPA","1705207011"
"Panaytayan","Mansalay","Oriental Mindoro","MIMAROPA","1705207012"
