name,municipality,province,region,code
"Calsapa","San Teodoro","Oriental Mindoro","MIMAROPA","1705213003"
"Ilag","San Teodoro","Oriental Mindoro","MIMAROPA","1705213004"
"Lumangbayan","San Teodoro","Oriental Mindoro","MIMAROPA","1705213005"
"Poblacion","San Teodoro","Oriental Mindoro","MIMAROPA","1705213007"
"Tacligan","San Teodoro","Oriental Mindoro","MIMAROPA","1705213006"
"Bagsok","Socorro","Oriental Mindoro","MIMAROPA","1705214001"
"Batong Dalig","Socorro","Oriental Mindoro","MIMAROPA","1705214002"
"Bayuin","Socorro","Oriental Mindoro","MIMAROPA","1705214003"
"Bugtong Na Tuog","Socorro","Oriental Mindoro","MIMAROPA","1705214027"
"Calocmoy","Socorro","Oriental Mindoro","MIMAROPA","1705214005"
"Calubayan","Socorro","Oriental Mindoro","MIMAROPA","1705214010"
"Catiningan","Socorro","Oriental Mindoro","MIMAROPA","1705214006"
"Fortuna","Socorro","Oriental Mindoro","MIMAROPA","1705214008"
"Happy Valley","Socorro","Oriental Mindoro","MIMAROPA","1705214009"
"Leuteboro I","Socorro","Oriental Mindoro","MIMAROPA","1705214012"
"Leuteboro II","Socorro","Oriental Mindoro","MIMAROPA","1705214013"
"Ma. Concepcion","Socorro","Oriental Mindoro","MIMAROPA","1705214029"
"Mabuhay I","Socorro","Oriental Mindoro","MIMAROPA","1705214014"
"Mabuhay II","Socorro","Oriental Mindoro","MIMAROPA","1705214028"
"Malugay","Socorro","Oriental Mindoro","MIMAROPA","1705214015"
"Matungao","Socorro","Oriental Mindoro","MIMAROPA","1705214016"
"Monteverde","Socorro","Oriental Mindoro","MIMAROPA","1705214017"
"Pasi I","Socorro","Oriental Mindoro","MIMAROPA","1705214018"
"Pasi II","Socorro","Oriental Mindoro","MIMAROPA","1705214019"
"Santo Domingo","Socorro","Oriental Mindoro","MIMAROPA","1705214024"
"Subaan","Socorro","Oriental Mindoro","MIMAROPA","1705214025"
"Villareal","Socorro","Oriental Mindoro","MIMAROPA","1705214007"
"Zone I (Pob.)","Socorro","Oriental Mindoro","MIMAROPA","1705214020"
"Zone II (Pob.)","Socorro","Oriental Mindoro","MIMAROPA","1705214021"
"Zone III (Pob.)","Socorro","Oriental Mindoro","MIMAROPA","1705214022"
"Zone IV (Pob.)","Socorro","Oriental Mindoro","MIMAROPA","1705214023"
"Alcate","Victoria","Oriental Mindoro","MIMAROPA","1705215001"
"Antonino","Victoria","Oriental Mindoro","MIMAROPA","1705215038"
"Babangonan","Victoria","Oriental Mindoro","MIMAROPA","1705215002"
"Bagong Buhay","Victoria","Oriental Mindoro","MIMAROPA","1705215004"
"Bagong Silang","Victoria","Oriental Mindoro","MIMAROPA","1705215003"
"Bambanin","Victoria","Oriental Mindoro","MIMAROPA","1705215005"
"Bethel","Victoria","Oriental Mindoro","MIMAROPA","1705215006"
"Canaan","Victoria","Oriental Mindoro","MIMAROPA","1705215007"
"Concepcion","Victoria","Oriental Mindoro","MIMAROPA","1705215008"
"Duongan","Victoria","Oriental Mindoro","MIMAROPA","1705215009"
"Jose Leido Jr.","Victoria","Oriental Mindoro","MIMAROPA","1705215036"
"Loyal","Victoria","Oriental Mindoro","MIMAROPA","1705215010"
"Mabini","Victoria","Oriental Mindoro","MIMAROPA","1705215011"
"Macatoc","Victoria","Oriental Mindoro","MIMAROPA","1705215012"
"Malabo","Victoria","Oriental Mindoro","MIMAROPA","1705215013"
"Merit","Victoria","Oriental Mindoro","MIMAROPA","1705215015"
"Ordovilla","Victoria","Oriental Mindoro","MIMAROPA","1705215016"
"Pakyas","Victoria","Oriental Mindoro","MIMAROPA","1705215017"
"Poblacion I","Victoria","Oriental Mindoro","MIMAROPA","1705215018"
"Poblacion II","Victoria","Oriental Mindoro","MIMAROPA","1705215019"
"Poblacion III","Victoria","Oriental Mindoro","MIMAROPA","1705215020"
"Poblacion IV","Victoria","Oriental Mindoro","MIMAROPA","1705215021"
"Sampaguita","Victoria","Oriental Mindoro","MIMAROPA","1705215027"
"San Antonio","Victoria","Oriental Mindoro","MIMAROPA","1705215028"
"San Cristobal","Victoria","Oriental Mindoro","MIMAROPA","1705215037"
"San Gabriel","Victoria","Oriental Mindoro","MIMAROPA","1705215029"
"San Gelacio","Victoria","Oriental Mindoro","MIMAROPA","1705215030"
"San Isidro","Victoria","Oriental Mindoro","MIMAROPA","1705215031"
"San Juan","Victoria","Oriental Mindoro","MIMAROPA","1705215032"
"San Narciso","Victoria","Oriental Mindoro","MIMAROPA","1705215033"
"Urdaneta","Victoria","Oriental Mindoro","MIMAROPA","1705215034"
"Villa Cerveza","Victoria","Oriental Mindoro","MIMAROPA","1705215035"
